Partenza,Destinazione,Peso del link
Como,Milano,58153548.712882884
Como,Bergamo,30693446.91524356
Como,Brescia,19437208.569647085
Como,Pavia,4488826.275244604
Como,Lodi,0.0
Como,Cremona,0.0
Como,Mantova,0.0
Como,Bolzano,0.0
Como,Trento,0.0
Como,Treviso,0.0
Como,Gorizia,0.0
Como,L'Aquila,0.0
Como,Teramo,0.0
Como,Pescara,0.0
Como,Chieti,0.0
Como,Isernia,0.0
Como,Lecce,0.0
Como,Potenza,0.0
Como,Matera,0.0
Como,Sassari,0.0
Como,Nuoro,0.0
Como,Cagliari,0.0
Como,Oristano,0.0
Como,Cosenza,0.0
Como,Massa,0.0
Como,Benevento,0.0
Como,Caserta,0.0
Como,Lucca,0.0
Como,Vicenza,6954146.346732735
Como,Belluno,0.0
Como,Crotone,0.0
Como,Salerno,0.0
Como,Prato,0.0
Como,Napoli,0.0
Como,Avellino,0.0
Como,Verona,4207701.635181133
Como,Reggio di Calabria,0.0
Como,Padova,4138707.0029083923
Como,Campobasso,0.0
Como,Vibo Valentia,0.0
Como,Arezzo,0.0
Como,Catanzaro,0.0
Como,Pistoia,0.0
Como,Firenze,0.0
Como,Monza,29785643.925728984
Como,Livorno,0.0
Como,Venezia,0.0
Como,Rovigo,0.0
Como,Pisa,0.0
Como,Catania,0.0
Como,Trieste,0.0
Como,Foggia,0.0
Como,Caltanissetta,0.0
Como,Bari,0.0
Como,Siena,0.0
Como,Udine,0.0
Como,Taranto,0.0
Como,Siracusa,0.0
Como,Enna,0.0
Como,Trapani,0.0
Como,Agrigento,0.0
Como,Grosseto,0.0
Como,Brindisi,0.0
Como,Ragusa,0.0
Como,Perugia,0.0
Como,Terni,0.0
Como,Fermo,0.0
Como,Messina,0.0
Como,Palermo,0.0
Como,Barletta,0.0
Como,Forlì,0.0
Como,Pordenone,0.0
Como,Rimini,0.0
Como,Parma,0.0
Como,Macerata,0.0
Como,Modena,4533190.038546786
Como,Latina,0.0
Como,Ferrara,0.0
Como,Bologna,5314035.051623033
Como,Pesaro,0.0
Como,Ancona,0.0
Como,Piacenza,0.0
Como,Ascoli Piceno,0.0
Como,Reggio nell'Emilia,4531930.516299907
Como,Rieti,0.0
Como,Roma,0.0
Como,Ravenna,0.0
Como,Frosinone,0.0
Como,Novara,8013295.692435428
Como,Alessandria,0.0
Como,Viterbo,0.0
Como,Asti,0.0
Como,Biella,0.0
Como,Cusio,0.0
Como,Torino,17254612.577665173
Como,Cuneo,0.0
Como,Vercelli,0.0
Como,Savona,0.0
Como,Genova,0.0
Como,Imperia,0.0
Lecco,La Spezia,0.0
Lecco,Varese,31204892.743266102
Lecco,Como,22259720.96350901
Lecco,Lecco,0.0
Lecco,Sondrio,0.0
Lecco,Milano,75739417.79508615
Lecco,Bergamo,79700607.4179455
Lecco,Brescia,38042331.32797183
Lecco,Pavia,6265777.447435021
Lecco,Lodi,4385089.736670698
Lecco,Cremona,5747066.637221757
Lecco,Mantova,4326278.841196261
Lecco,Bolzano,0.0
Lecco,Trento,0.0
Lecco,Treviso,6090014.84432131
Lecco,Gorizia,0.0
Lecco,L'Aquila,0.0
Lecco,Teramo,0.0
Lecco,Pescara,0.0
Lecco,Chieti,0.0
Lecco,Isernia,0.0
Lecco,Lecce,0.0
Lecco,Potenza,0.0
Lecco,Matera,0.0
Lecco,Sassari,0.0
Lecco,Nuoro,0.0
Lecco,Cagliari,0.0
Lecco,Oristano,0.0
Lecco,Cosenza,0.0
Lecco,Massa,0.0
Lecco,Benevento,0.0
Lecco,Caserta,0.0
Lecco,Lucca,0.0
Lecco,Vicenza,12112251.209603714
Lecco,Belluno,0.0
Lecco,Crotone,0.0
Lecco,Salerno,0.0
Lecco,Prato,0.0
Lecco,Napoli,0.0
Lecco,Avellino,0.0
Lecco,Verona,7504298.882311578
Lecco,Reggio di Calabria,0.0
Lecco,Padova,7071479.387310218
Lecco,Campobasso,0.0
Lecco,Vibo Valentia,0.0
Lecco,Arezzo,0.0
Lecco,Catanzaro,0.0
Lecco,Pistoia,0.0
Lecco,Firenze,0.0
Lecco,Monza,42123143.417630225
Lecco,Livorno,0.0
Lecco,Venezia,0.0
Lecco,Rovigo,0.0
Lecco,Pisa,0.0
Lecco,Catania,0.0
Lecco,Trieste,0.0
Lecco,Foggia,0.0
Lecco,Caltanissetta,0.0
Lecco,Bari,0.0
Lecco,Siena,0.0
Lecco,Udine,0.0
Lecco,Taranto,0.0
Lecco,Siracusa,0.0
Lecco,Enna,0.0
Lecco,Trapani,0.0
Lecco,Agrigento,0.0
Lecco,Grosseto,0.0
Lecco,Brindisi,0.0
Lecco,Ragusa,0.0
Lecco,Perugia,0.0
Lecco,Terni,0.0
Lecco,Fermo,0.0
Lecco,Messina,0.0
Lecco,Palermo,0.0
Lecco,Barletta,0.0
Lecco,Forlì,0.0
Lecco,Pordenone,0.0
Lecco,Rimini,0.0
Lecco,Parma,4788312.611113257
Lecco,Macerata,0.0
Lecco,Modena,7490468.438944891
Lecco,Latina,0.0
Lecco,Ferrara,0.0
Lecco,Bologna,8721784.915597372
Lecco,Pesaro,0.0
Lecco,Ancona,0.0
Lecco,Piacenza,4683081.18127151
Lecco,Ascoli Piceno,0.0
Lecco,Reggio nell'Emilia,7481959.583070087
Lecco,Rieti,0.0
Lecco,Roma,0.0
Lecco,Ravenna,0.0
Lecco,Frosinone,0.0
Lecco,Novara,8854563.987418395
Lecco,Alessandria,0.0
Lecco,Viterbo,0.0
Lecco,Asti,0.0
Lecco,Biella,0.0
Lecco,Cusio,6188253.311767058
Lecco,Torino,22752894.060196552
Lecco,Cuneo,0.0
Lecco,Vercelli,0.0
Lecco,Savona,0.0
Lecco,Genova,0.0
Lecco,Imperia,0.0
Sondrio,La Spezia,0.0
Sondrio,Varese,0.0
Sondrio,Como,0.0
Sondrio,Lecco,0.0
Sondrio,Sondrio,0.0
Sondrio,Milano,6316343.430532306
Sondrio,Bergamo,6890710.174533356
Sondrio,Brescia,6347662.076464106
Sondrio,Pavia,0.0
Sondrio,Lodi,0.0
Sondrio,Cremona,0.0
Sondrio,Mantova,0.0
Sondrio,Bolzano,0.0
Sondrio,Trento,0.0
Sondrio,Treviso,0.0
Sondrio,Gorizia,0.0
Sondrio,L'Aquila,0.0
Sondrio,Teramo,0.0
Sondrio,Pescara,0.0
Sondrio,Chieti,0.0
Sondrio,Isernia,0.0
Sondrio,Lecce,0.0
Sondrio,Potenza,0.0
Sondrio,Matera,0.0
Sondrio,Sassari,0.0
Sondrio,Nuoro,0.0
Sondrio,Cagliari,0.0
Sondrio,Oristano,0.0
Sondrio,Cosenza,0.0
Sondrio,Massa,0.0
Sondrio,Benevento,0.0
Sondrio,Caserta,0.0
Sondrio,Lucca,0.0
Sondrio,Vicenza,0.0
Sondrio,Belluno,0.0
Sondrio,Crotone,0.0
Sondrio,Salerno,0.0
Sondrio,Prato,0.0
Sondrio,Napoli,0.0
Sondrio,Avellino,0.0
Sondrio,Verona,0.0
Sondrio,Reggio di Calabria,0.0
Sondrio,Padova,0.0
Sondrio,Campobasso,0.0
Sondrio,Vibo Valentia,0.0
Sondrio,Arezzo,0.0
Sondrio,Catanzaro,0.0
Sondrio,Pistoia,0.0
Sondrio,Firenze,0.0
Sondrio,Monza,0.0
Sondrio,Livorno,0.0
Sondrio,Venezia,0.0
Sondrio,Rovigo,0.0
Sondrio,Pisa,0.0
Sondrio,Catania,0.0
Sondrio,Trieste,0.0
Sondrio,Foggia,0.0
Sondrio,Caltanissetta,0.0
Sondrio,Bari,0.0
Sondrio,Siena,0.0
Sondrio,Udine,0.0
Sondrio,Taranto,0.0
Sondrio,Siracusa,0.0
Sondrio,Enna,0.0
Sondrio,Trapani,0.0
Sondrio,Agrigento,0.0
Sondrio,Grosseto,0.0
Sondrio,Brindisi,0.0
Sondrio,Ragusa,0.0
Sondrio,Perugia,0.0
Sondrio,Terni,0.0
Sondrio,Fermo,0.0
Sondrio,Messina,0.0
Sondrio,Palermo,0.0
Sondrio,Barletta,0.0
Sondrio,Forlì,0.0
Sondrio,Pordenone,0.0
Sondrio,Rimini,0.0
Sondrio,Parma,0.0
Sondrio,Macerata,0.0
Sondrio,Modena,0.0
Sondrio,Latina,0.0
Sondrio,Ferrara,0.0
Sondrio,Bologna,0.0
Sondrio,Pesaro,0.0
Sondrio,Ancona,0.0
Sondrio,Piacenza,0.0
Sondrio,Ascoli Piceno,0.0
Sondrio,Reggio nell'Emilia,0.0
Sondrio,Rieti,0.0
Sondrio,Roma,0.0
Sondrio,Ravenna,0.0
Sondrio,Frosinone,0.0
Sondrio,Novara,0.0
Sondrio,Alessandria,0.0
Sondrio,Viterbo,0.0
Sondrio,Asti,0.0
Sondrio,Biella,0.0
Sondrio,Cusio,0.0
Sondrio,Torino,0.0
Sondrio,Cuneo,0.0
Sondrio,Vercelli,0.0
Sondrio,Savona,0.0
Sondrio,Genova,0.0
Sondrio,Imperia,0.0
Milano,La Spezia,4533580.400475433
Milano,Varese,119705961.85052268
Milano,Como,58153548.712882884
Milano,Lecco,75739417.79508615
Milano,Sondrio,6316343.430532306
Milano,Milano,0.0
Milano,Bergamo,205462447.78464475
Milano,Brescia,143595454.2032701
Milano,Pavia,63754733.600697555
Milano,Lodi,37215057.85908749
Milano,Cremona,29989867.675308175
Milano,Mantova,18541174.077325214
Milano,Bolzano,8314006.978839472
Milano,Trento,9178907.39409844
Milano,Treviso,23589307.415979296
Milano,Gorizia,0.0
Milano,L'Aquila,0.0
Milano,Teramo,0.0
Milano,Pescara,0.0
Milano,Chieti,4468779.803087813
Milano,Isernia,0.0
Milano,Lecce,0.0
Milano,Potenza,0.0
Milano,Matera,0.0
Milano,Sassari,0.0
Milano,Nuoro,0.0
