partenza,arrivo,paese,passeggeri
Bergamo,Athens Hellinikon,Greece,158690
Milano Malpensa,Edinburgh Turnhouse,Great Britain,157693
Bergamo,Manchester International,Great Britain,155889
Milano Malpensa,Stuttgart Echterdingen,Germany,155696
Pisa,Charleroi Brussels South Airport,Belgium,155619
Milano Malpensa,Malaga,Spain,154782
Catania,Amsterdam Schiphol,Netherlands,154481
Roma Fiumicino,Toulouse Blagnac,France,154027
Milano Malpensa,Luxembourg Findel,Luxemburg,151994
Bergamo,Vilnius,Lithuania,150821
Pisa,Madrid Barajas,Spain,150024
Treviso,Charleroi Brussels South Airport,Belgium,149207
Bologna,Valencia,Spain,148716
Pisa,Paris Orly,France,147875
Firenze,Barcelona,Spain,147481
Napoli,Madrid Barajas,Spain,146252
Catania,Munich Franz Josef Strauss,Germany,145849
Roma Ciampino,Cologne,Germany,143964
Roma Ciampino,Prague Ruzyne,Czech Republic,143168
Roma Ciampino,Budapest Ferihegy,Hungary,141768
Roma Ciampino,Valencia,Spain,140093
Treviso,Barcelona,Spain,139278
Venezia,Vienna International,Austria,138721
Bergamo,Ibiza,Spain,138329
Venezia,Lisbon Lisboa,Portugal,135870
Bergamo,Beauvais Tille,France,135395
Roma Ciampino,Warsaw Modlin,Poland,135088
Venezia,Lyon Satolas,France,134753
Bergamo,Budapest Ferihegy,Hungary,134728
Bologna,Copenhagen Airport,Denmark,133491
Bergamo,Sofia Vrazhdebna,Bulgaria,133107
Bergamo,Lisbon Lisboa,Portugal,132774
Venezia,Bristol,Great Britain,132449
Milano Malpensa,Warsaw Okecie,Poland,132063
Napoli,Manchester International,Great Britain,131028
Bergamo,Sevilla,Spain,130769
Bologna,Lisbon Lisboa,Portugal,129883
Roma Fiumicino,London Luton International,Great Britain,129199
Bari,London Stansted,Great Britain,127673
Torino,London Stansted,Great Britain,127392
Bergamo,Krakow John Paul Ii Balice,Poland,125642
Roma Ciampino,Eindhoven,Netherlands,125580
Napoli,London Luton International,Great Britain,124800
Milano Malpensa,Sofia Vrazhdebna,Bulgaria,123974
Bologna,Charleroi Brussels South Airport,Belgium,123961
Bergamo,Warsaw Modlin,Poland,123675
Cagliari,London Stansted,Great Britain,122591
Bologna,Berlin Schoenefeld,Germany,122201
Bergamo,Eindhoven,Netherlands,122168
Treviso,Bucharest Otopeni International,Romania,122047
Roma Ciampino,Nurnmberg,Germany,121157
Firenze,Paris Orly,France,120435
Pisa,Eindhoven,Netherlands,120237
Verona,Munich Franz Josef Strauss,Germany,119798
Pisa,Gerona Costa Brava,Spain,118579
Roma Ciampino,Copenhagen Airport,Denmark,118530
Pisa,London Heathrow,Great Britain,118465
Catania,Bucharest Otopeni International,Romania,116632
Torino,Amsterdam Schiphol,Netherlands,116252
Pisa,Amsterdam Schiphol,Netherlands,116104
Catania,Paris C. De Gaulle,France,115564
Bergamo,Nykoping Skavsta,Sweden,115375
Torino,Madrid Barajas,Spain,114953
Bergamo,Malta Luqa,Malta,114922
Milano Malpensa,Palma Mallorca,Spain,114495
Roma Ciampino,Sofia Vrazhdebna,Bulgaria,114270
Milano Malpensa,Bucharest Otopeni International,Romania,114185
