id_istat,comune,lng,lat,regione
1101,Favria,7.68801437,45.33284709,Piemonte
1102,Feletto,7.747108,45.30549111,Piemonte
1103,Fenestrelle,7.05188671,45.03429618,Piemonte
1104,Fiano,7.51978357,45.21812133,Piemonte
1105,Fiorano Canavese,7.82897738,45.46756986,Piemonte
1106,Foglizzo,7.82317874,45.27201738,Piemonte
1107,Forno Canavese,7.58678049,45.34683712,Piemonte
1108,Frassinetto,7.60567906,45.43603247,Piemonte
1109,Front,7.66559657,45.2795507,Piemonte
1110,Frossasco,7.35077043,44.93362239,Piemonte
1111,Garzigliana,7.37473116,44.83677569,Piemonte
1112,Gassino Torinese,7.8248966,45.1274528,Piemonte
1113,Germagnano,7.46686447,45.26218096,Piemonte
1114,Giaglione,7.01413849,45.13968801,Piemonte
1115,Giaveno,7.35308652,45.04475307,Piemonte
1116,Givoletto,7.49677295,45.15877935,Piemonte
1117,Gravere,7.02107286,45.1239184,Piemonte
1118,Groscavallo,7.28229522,45.36895345,Piemonte
1119,Grosso,7.55663354,45.25636722,Piemonte
1120,Grugliasco,7.57780057,45.06211095,Piemonte
1121,Ingria,7.57086278,45.46629106,Piemonte
1122,Inverso Pinasca,7.21596397,44.94722972,Piemonte
1123,Isolabella,7.90926775,44.90664468,Piemonte
1124,Issiglio,7.75416284,45.44680942,Piemonte
1125,Ivrea,7.87596694,45.46618879,Piemonte
1126,La Cassa,7.51913001,45.18182357,Piemonte
1127,La Loggia,7.66770716,44.95667810000001,Piemonte
1128,Lanzo Torinese,7.4766156000000015,45.27231992,Piemonte
1129,Lauriano,7.99166951,45.15845502,Piemonte
1130,Leini,7.71510758,45.18393696,Piemonte
1131,Lemie,7.29288179,45.2285566,Piemonte
1132,Lessolo,7.81421978,45.47615621,Piemonte
1133,Levone,7.60590068,45.31810409,Piemonte
1134,Locana,7.46126241,45.41699254,Piemonte
1135,Lombardore,7.73626699,45.23570752,Piemonte
1136,Lombriasco,7.635778699999999,44.84160233,Piemonte
1137,Loranzè,7.8108711,45.44223125,Piemonte
1139,Luserna San Giovanni,7.24579065,44.81432177,Piemonte
1140,Lusernetta,7.25023582,44.8023662,Piemonte
1141,Lusigliè,7.76646663,45.31856534,Piemonte
1142,Macello,7.40079259,44.85117887,Piemonte
1143,Maglione,8.01174454,45.34770337,Piemonte
1144,Marentino,7.87332971,45.05800482,Piemonte
1145,Massello,7.05631276,44.95856162,Piemonte
1146,Mathi,7.54132093,45.25664137,Piemonte
1147,Mattie,7.11215191,45.1187052,Piemonte
1148,Mazzè,7.93700162,45.29853622,Piemonte
1149,Meana di Susa,7.06814068,45.12073332,Piemonte
1150,Mercenasco,7.88256683,45.35697859,Piemonte
1152,Mezzenile,7.39502001,45.29240402,Piemonte
1153,Mombello di Torino,7.919548299999999,45.0464001,Piemonte
1154,Mompantero,7.0579733,45.13990657,Piemonte
1155,Monastero di Lanzo,7.43913232,45.30142445,Piemonte
1156,Moncalieri,7.68524785,45.00092557,Piemonte
1157,Moncenisio,6.98356095,45.20528865,Piemonte
1158,Montaldo Torinese,7.85089356,45.06636449,Piemonte
1159,Montalenghe,7.83985641,45.33772294,Piemonte
1160,Montalto Dora,7.86379472,45.49362402,Piemonte
1161,Montanaro,7.85282569,45.23289425,Piemonte
1162,Monteu da Po,8.01478453,45.15054215,Piemonte
1163,Moriondo Torinese,7.94405562,45.03906243,Piemonte
1164,Nichelino,7.64737268,44.99519052,Piemonte
1165,Noasca,7.31354369,45.45305086,Piemonte
1166,Nole,7.57012122,45.24523673,Piemonte
1167,Nomaglio,7.85971537,45.53518242,Piemonte
1168,None,7.54123958,44.93231301,Piemonte
1169,Novalesa,7.01466579,45.18763602,Piemonte
1170,Oglianico,7.69274392,45.34256696,Piemonte
1171,Orbassano,7.53695676,45.00703303,Piemonte
1172,Orio Canavese,7.86029968,45.32848958,Piemonte
1173,Osasco,7.34316619,44.84947467,Piemonte
1174,Osasio,7.60752807,44.86946279,Piemonte
1175,Oulx,6.83221872,45.03127204,Piemonte
1176,Ozegna,7.74313424,45.34901489,Piemonte
1177,Palazzo Canavese,7.978049499999999,45.45747804,Piemonte
1178,Pancalieri,7.58816166,44.83047398,Piemonte
1179,Parella,7.7910274999999976,45.42998528,Piemonte
1180,Pavarolo,7.83475798,45.06892615,Piemonte
1181,Pavone Canavese,7.85397607,45.4352612,Piemonte
1183,Pecetto Torinese,7.74869987,45.01955866,Piemonte
1184,Perosa Argentina,7.19237022,44.95809915,Piemonte
1185,Perosa Canavese,7.82925599,45.39715691,Piemonte
1186,Perrero,7.11526705,44.93745704,Piemonte
1187,Pertusio,7.63872415,45.35339905,Piemonte
1188,Pessinetto,7.40284722,45.29054324,Piemonte
1189,Pianezza,7.54635756,45.10062332,Piemonte
1190,Pinasca,7.22767284,44.94266195,Piemonte
1191,Pinerolo,7.33200099,44.88733486,Piemonte
1192,Pino Torinese,7.77216514,45.0435201,Piemonte
1193,Piobesi Torinese,7.61193106,44.93305708,Piemonte
1194,Piossasco,7.46275512,44.99070006,Piemonte
1195,Piscina,7.42589738,44.91946420000001,Piemonte
1196,Piverone,8.00710274,45.44754377,Piemonte
1197,Poirino,7.84361932,44.92119885,Piemonte
1198,Pomaretto,7.18220303,44.95506624,Piemonte
1199,Pont-Canavese,7.59357096,45.42072843,Piemonte
1200,Porte,7.2679851,44.88756523,Piemonte
1201,Pragelato,6.94229337,45.0162756,Piemonte
1202,Prali,7.04904363,44.89040764,Piemonte
1203,Pralormo,7.90066311,44.86135787,Piemonte
1204,Pramollo,7.21169848,44.90458825,Piemonte
1205,Prarostino,7.269721400000001,44.86584045,Piemonte
1206,Prascorsano,7.61570863,45.36765655,Piemonte
1207,Pratiglione,7.59609066,45.35364806,Piemonte
1208,Quagliuzzo,7.78183655,45.42649496,Piemonte
1209,Quassolo,7.83247599,45.52493469,Piemonte
1210,Quincinetto,7.80576899,45.56081088,Piemonte
1211,Reano,7.42955396,45.05170702,Piemonte
1212,Ribordone,7.50241918,45.43160898,Piemonte
1213,Rivalba,7.8870447,45.11880638,Piemonte
1214,Rivalta di Torino,7.52329257,45.03454517,Piemonte
1215,Riva presso Chieri,7.86919927,44.98628102,Piemonte
1216,Rivara,7.62506151,45.33231529,Piemonte
1217,Rivarolo Canavese,7.7252213,45.33279488,Piemonte
1218,Rivarossa,7.71719961,45.25127899,Piemonte
1219,Rivoli,7.53394487,45.07062854,Piemonte
1220,Robassomero,7.57015928,45.20008262,Piemonte
1221,Rocca Canavese,7.57853704,45.30940721,Piemonte
1222,Roletto,7.33066832,44.92524919,Piemonte
1223,Romano Canavese,7.86790447,45.39134325,Piemonte
1224,Ronco Canavese,7.54567243,45.4994291,Piemonte
1225,Rondissone,7.96581632,45.24678796,Piemonte
1226,Rorà,7.19849234,44.79230499,Piemonte
1227,Roure,7.12908516,45.00108393,Piemonte
1228,Rosta,7.463967200000001,45.07142005,Piemonte
1229,Rubiana,7.38239842,45.13920427,Piemonte
1230,Rueglio,7.75582201,45.46784892,Piemonte
1231,Salassa,7.68939186,45.35955646,Piemonte
1232,Salbertrand,6.88368812,45.07237164,Piemonte
1233,Salerano Canavese,7.84990248,45.45644258,Piemonte
1234,Salza di Pinerolo,7.05324489,44.94054394,Piemonte
1235,Samone,7.84564332,45.44928553,Piemonte
1236,San Benigno Canavese,7.78265511,45.22396157,Piemonte
1237,San Carlo Canavese,7.61016157,45.24815307,Piemonte
1238,San Colombano Belmonte,7.61845112,45.38143971,Piemonte
1239,San Didero,7.21515502,45.13516257,Piemonte
1240,San Francesco al Campo,7.65566462,45.22553762,Piemonte
1241,Sangano,7.45053852,45.0262359,Piemonte
1242,San Germano Chisone,7.24085653,44.89871585,Piemonte
1243,San Gillio,7.53383254,45.14205994,Piemonte
1244,San Giorgio Canavese,7.79425943,45.33544394,Piemonte
1245,San Giorio di Susa,7.17753154,45.12841513,Piemonte
1246,San Giusto Canavese,7.80833346,45.31221415,Piemonte
1247,San Martino Canavese,7.81836251,45.39459427,Piemonte
1248,San Maurizio Canavese,7.63075305,45.21911823,Piemonte
1249,San Mauro Torinese,7.76632833,45.10309541,Piemonte
1250,San Pietro Val Lemina,7.31355518,44.90732828,Piemonte
1251,San Ponso,7.66751665,45.35081649,Piemonte
1252,San Raffaele Cimena,7.84869672,45.147225,Piemonte
1253,San Sebastiano da Po,7.9534693,45.16644198,Piemonte
1254,San Secondo di Pinerolo,7.29864772,44.86656606,Piemonte
1255,Sant'Ambrogio di Torino,7.35931306,45.09968774,Piemonte
1256,Sant'Antonino di Susa,7.27350974,45.10708303,Piemonte
1257,Santena,7.77316006,44.94968716,Piemonte
1258,Sauze di Cesana,6.86049707,44.94044645,Piemonte
1259,Sauze d'Oulx,6.85824935,45.02808681,Piemonte
1260,Scalenghe,7.49796536,44.88830917,Piemonte
1261,Scarmagno,7.8407106,45.38582635,Piemonte
1262,Sciolze,7.87766236,45.09503651,Piemonte
1263,Sestriere,6.87655108,44.95764886,Piemonte
1264,Settimo Rottaro,7.99223087,45.40489983,Piemonte
1265,Settimo Torinese,7.77124007,45.13698893,Piemonte
1266,Settimo Vittone,7.831721000000001,45.54810664,Piemonte
1267,Sparone,7.54421421,45.41330062,Piemonte
1268,Strambinello,7.76866207,45.42324307,Piemonte
1269,Strambino,7.88062828,45.38458718,Piemonte
1270,Susa,7.04641962,45.13525075,Piemonte
1271,Tavagnasco,7.82261044,45.54322012,Piemonte
1272,Torino,7.68068748,45.0732745,Piemonte
1273,Torrazza Piemonte,7.9749012000000015,45.21520992,Piemonte
1274,Torre Canavese,7.76053919,45.39182464,Piemonte
1275,Torre Pellice,7.22397861,44.82074148,Piemonte
1276,Trana,7.41730319,45.03709504,Piemonte
1278,Traversella,7.75041006,45.50940960000001,Piemonte
1279,Traves,7.42974781,45.27057879,Piemonte
1280,Trofarello,7.7403033,44.98596444,Piemonte
1281,Usseaux,7.02687343,45.04849799,Piemonte
1282,Usseglio,7.21722031,45.23272497,Piemonte
1283,Vaie,7.28663072,45.10189314,Piemonte
